Individu,Pop,Quadrat,Plante,year,Age,Size0Mars,Size1Mars,Size0Juin,Size1Juin,Survie,Flowering,Capitule
1,Po,26,1,1995,NA,14.5,0,11.5,0,0,1,NA
2,Po,26,2,1995,NA,12.5,0,9.5,0,0,1,NA
3,Po,26,5,1995,NA,2.5,0,2.5,0,0,0,0
4,Po,26,6,1995,NA,4,0,4,0,0,0,0
5,Po,26,7,1995,NA,3,0,2.5,0,0,0,0
6,Po,26,8,1995,NA,3,0,2.5,0,0,0,0
7,Po,26,10,1995,NA,2.5,0,2.5,0,0,0,0
8,Po,26,12,1995,NA,2,0,1,0,0,0,0
9,Po,26,13,1995,NA,3,0,3,0,0,0,0
10,Po,26,14,1995,NA,5,0,6,0,0,0,0
11,Po,26,15,1995,NA,3.5,0,3.5,0,0,0,0
12,Po,26,16,1995,NA,5.5,0,8,0,0,0,0
13,Po,26,19,1995,NA,3,0,4,0,0,0,0
14,Po,26,21,1995,NA,3.5,0,3.5,0,0,0,0
15,Po,26,22,1995,NA,4,0,4,0,0,0,0
16,Po,26,23,1995,NA,3,0,3,0,0,0,0
17,Po,26,25,1995,NA,5,3.5,6.5,6.5,1,0,0
17,Po,26,25,1996,NA,3.5,3.5,6.5,7,1,0,0
17,Po,26,25,1997,NA,3.5,6,7,7,1,0,0
17,Po,26,25,1998,NA,6,4,7,10,1,0,0
17,Po,26,25,1999,NA,4,10,10,13.5,1,0,0
17,Po,26,25,2000,NA,10,7,13.5,10,1,0,0
17,Po,26,25,2001,NA,7,0,10,0,0,1,15
18,Po,26,26,1995,NA,2.5,0,4.5,0,0,0,0
19,Po,26,27,1995,NA,1.5,0,2.5,0,0,0,0
20,Po,26,28,1995,NA,3,0,3.5,0,0,0,0
21,Po,26,29,1995,NA,3.5,0,3,0,0,0,0
22,Po,26,30,1995,NA,2,0,0.5,0,0,0,0
23,Po,26,31,1995,NA,4,0,5,0,0,0,0
24,Po,26,32,1995,NA,3,0,1.5,0,0,0,0
25,Po,26,33,1995,NA,1,0,0.5,0,0,0,0
26,Po,26,34,1995,NA,3,0,3,0,0,0,0
27,Po,26,35,1995,NA,3.5,0,3.5,0,0,0,0
28,Po,26,36,1995,NA,4,5,4,6.5,1,0,0
28,Po,26,36,1996,NA,5,5.5,6.5,7,1,0,0
28,Po,26,36,1997,NA,5.5,6.5,7,9,1,0,0
28,Po,26,36,1998,NA,6.5,6,9,8,1,0,0
28,Po,26,36,1999,NA,6,9.5,8,11,1,0,0
28,Po,26,36,2000,NA,9.5,8,11,10.5,1,0,0
